Overall Rank,City,State,City/State,Total Score,Emotional & Physical Well-Being,Income & Employment ,Community & Environment,Recreational,Medical
1,Plano,TX,"Plano, TX",72.3,7,6,8,illegal,CBD oil
2,Irvine,CA,"Irvine, CA",71.86,14,11,5,legal,legal
3,Madison,WI,"Madison, WI",71.81,3,14,7,misdemeanor,CBD oil
4,Fremont,CA,"Fremont, CA",71.17,10,37,1,legal,legal
5,Huntington Beach,CA,"Huntington Beach, CA",69.74,6,46,28,legal,legal
6,Fargo,ND,"Fargo, ND",69.57,17,20,24,illegal,legal
7,Grand Prairie,TX,"Grand Prairie, TX",69.3,20,35,6,illegal,CBD oil
8,San Jose,CA,"San Jose, CA",68.9,1,18,44,legal,legal
9,Scottsdale,AZ,"Scottsdale, AZ",68.24,46,13,2,Illegal,legal
10,San Francisco,CA,"San Francisco, CA",67.53,4,2,125,legal,legal
11,Bismarck,ND,"Bismarck, ND",67.38,25,4,45,illegal,legal
12,Overland Park,KS,"Overland Park, KS",67.37,22,56,26,misdemeanor,CBD oil
13,Santa Rosa,CA,"Santa Rosa, CA",67.18,23,53,9,legal,legal
14,Austin,TX,"Austin, TX",67.16,15,8,80,illegal,CBD oil
15,Sioux Falls,SD,"Sioux Falls, SD",66.97,11,67,95,misdemeanor,illegal
16,Pearl City,HI,"Pearl City, HI",66.77,2,147,15,illegal,legal
17,Glendale,CA,"Glendale, CA",66.25,27,102,12,legal,legal
18,San Diego,CA,"San Diego, CA",66.01,8,36,46,legal,legal
19,St. Paul,MN,"St. Paul, MN",65.79,18,70,66,decriminalized,legal
20,Charleston,SC,"Charleston, SC",65.48,74,5,4,misdemeanor,CBD oil
21,Gilbert,AZ,"Gilbert, AZ",65.07,54,48,10,Illegal,legal
22,Anaheim,CA,"Anaheim, CA",65.02,29,79,34,legal,legal
23,Raleigh,NC,"Raleigh, NC",64.99,13,41,87,decriminalized,CBD oil
24,Cape Coral,FL,"Cape Coral, FL",64.96,51,87,3,illegal,legal
25,Cedar Rapids,IA,"Cedar Rapids, IA",64.9,41,58,20,illegal,CBD oil
26,Minneapolis,MN,"Minneapolis, MN",64.82,5,26,137,decriminalized,legal
27,Chula Vista,CA,"Chula Vista, CA",64.54,19,117,25,legal,legal
28,Pembroke Pines,FL,"Pembroke Pines, FL",64.51,47,89,14,illegal,legal
29,Honolulu,HI,"Honolulu, HI",64.21,55,34,17,illegal,legal
30,Des Moines,IA,"Des Moines, IA",64.17,39,85,37,illegal,CBD oil
31,Irving,TX,"Irving, TX",64.07,28,17,119,illegal,CBD oil
32,Santa Clarita,CA,"Santa Clarita, CA",64,24,112,77,legal,legal
33,Chandler,AZ,"Chandler, AZ",63.83,62,55,16,Illegal,legal
34,Oceanside,CA,"Oceanside, CA",63.82,16,156,29,legal,legal
35,Omaha,NE,"Omaha, NE",63.5,56,80,19,decriminalized,illegal
36,Lincoln,NE,"Lincoln, NE",63.43,32,86,62,decriminalized,illegal
37,Oakland,CA,"Oakland, CA",63.16,12,75,131,legal,legal
38,Billings,MT,"Billings, MT",62.82,61,33,51,illegal,legal
39,Tempe,AZ,"Tempe, AZ",62.8,66,54,21,Illegal,legal
40,Garden Grove,CA,"Garden Grove, CA",62.7,37,107,67,legal,legal
41,Denver,CO,"Denver, CO",62.41,21,64,116,legal,legal
42,Fort Worth,TX,"Fort Worth, TX",62.35,44,90,54,illegal,CBD oil
43,Burlington,VT,"Burlington, VT",62.31,53,10,120,legal,legal
44,Peoria,AZ,"Peoria, AZ",62.3,65,77,23,Illegal,legal
45,Port St. Lucie,FL,"Port St. Lucie, FL",61.96,76,73,13,illegal,legal
46,Boise,ID,"Boise, ID",61.94,68,19,48,misdemeanor,illegal
47,Garland,TX,"Garland, TX",61.86,31,120,103,illegal,CBD oil
48,Aurora,CO,"Aurora, CO",61.83,26,121,104,legal,legal
49,Arlington,TX,"Arlington, TX",61.73,40,128,59,illegal,CBD oil
49,El Paso,TX,"El Paso, TX",61.73,58,98,39,illegal,CBD oil
51,Washington,DC,"Washington, DC",61.68,9,40,167,legal,legal
52,Charlotte,NC,"Charlotte, NC",61.22,52,92,57,decriminalized,CBD oil
53,Fort Lauderdale,FL,"Fort Lauderdale, FL",61.16,59,60,92,illegal,legal
54,Seattle,WA,"Seattle, WA",61.11,36,1,171,legal,legal
55,Aurora,IL,"Aurora, IL",61.05,38,164,56,decriminalized,legal
56,Missoula,MT,"Missoula, MT",60.99,57,52,91,illegal,legal
57,Santa Ana,CA,"Santa Ana, CA",60.96,50,103,73,legal,legal
58,Boston,MA,"Boston, MA",60.96,34,12,152,legal,legal
59,Colorado Springs,CO,"Colorado Springs, CO",60.96,72,69,36,legal,legal
60,Durham,NC,"Durham, NC",60.9,30,28,113,decriminalized,CBD oil
61,Portland,ME,"Portland, ME",60.83,48,49,149,legal,legal
62,Grand Rapids,MI,"Grand Rapids, MI",60.33,83,31,49,legal,legal
63,Rancho Cucamonga,CA,"Rancho Cucamonga, CA",60.14,79,32,68,legal,legal
64,Salt Lake City,UT,"Salt Lake City, UT",60.11,80,9,82,misdemeanor,legal
65,Yonkers,NY,"Yonkers, NY",60.1,45,157,79,decriminalized,legal
66,Las Cruces,NM,"Las Cruces, NM",60.08,33,123,69,illegal,legal
67,Rapid City,SD,"Rapid City, SD",60.07,86,30,64,misdemeanor,illegal
68,Dallas,TX,"Dallas, TX",59.82,35,109,123,illegal,CBD oil
69,South Burlington,VT,"South Burlington, VT",59.81,90,63,31,legal,legal
70,Virginia Beach,VA,"Virginia Beach, VA",59.71,73,105,43,misdemeanor,CBD oil
71,Long Beach,CA,"Long Beach, CA",59.58,42,138,108,legal,legal
72,Anchorage,AK,"Anchorage, AK",59.53,84,82,41,legal,legal
73,Cheyenne,WY,"Cheyenne, WY",59.51,78,23,127,misdemeanor,CBD oil
74,Columbia,MD,"Columbia, MD",59.47,49,101,138,decriminalized,legal
75,Mesa,AZ,"Mesa, AZ",59.25,77,116,47,Illegal,legal
76,Chesapeake,VA,"Chesapeake, VA",58.63,94,122,27,misdemeanor,CBD oil
77,Reno,NV,"Reno, NV",58.58,98,50,52,legal,legal
78,Tallahassee,FL,"Tallahassee, FL",58.54,91,42,85,illegal,legal
79,Atlanta,GA,"Atlanta, GA",58.46,64,88,100,decriminalized,CBD oil
80,Oxnard,CA,"Oxnard, CA",58.36,71,151,30,legal,legal
81,Nampa,ID,"Nampa, ID",58.2,102,137,11,misdemeanor,illegal
82,Los Angeles,CA,"Los Angeles, CA",58.12,43,104,146,legal,legal
83,Orlando,FL,"Orlando, FL",58.04,85,24,107,illegal,legal
84,Portland,OR,"Portland, OR",57.72,92,27,102,legal,legal
85,Salem,OR,"Salem, OR",57.71,101,29,90,legal,legal
86,Brownsville,TX,"Brownsville, TX",57.55,95,68,88,illegal,CBD oil
87,Pittsburgh,PA,"Pittsburgh, PA",57.45,112,21,60,illegal,legal
88,Riverside,CA,"Riverside, CA",57.25,100,22,105,legal,legal
89,Fontana,CA,"Fontana, CA",57.23,106,72,50,legal,legal
90,New York,NY,"New York, NY",57.1,70,152,74,decriminalized,legal
91,Nashua,NH,"Nashua, NH",57.09,82,100,96,decriminalized,legal
92,Huntsville,AL,"Huntsville, AL",57,130,47,22,misdemeanor,illegal
