Address,Category 0,Category 1,Category 2,City,Distance,Name,Out of Business,Price,Rating,Review Count,State
719 Griswold St,Cannabis Dispensaries,,,Santa Ana,4983.262814966484,420 Central,False,$$,4.5,214,CA
2200 W Lafayette Blvd,Cannabis Dispensaries,Cannabis Clinics,,Santa Ana,4786.002465206536,Bud and Bloom,False,$$,4.5,163,CA
15 E Kirby St,Cannabis Dispensaries,,,Santa Ana,2060.390173028952,Blüm - Santa Ana,False,$$,5.0,74,CA
2130 Michigan Ave,Cannabis Dispensaries,,,Santa Ana,3651.2396598594514,MedMen Santa Ana,False,$$,4.5,91,CA
4730 W Vernor Hwy,Cannabis Dispensaries,,,Santa Ana,4871.9657825675595,People's OC,False,$$,3.5,246,CA
47 Watson St,Cannabis Clinics,Medical Spas,,Santa Ana,3488.0998284615575,Steady Care Medical Clinic,False,$,4.5,100,CA
1431 Times Square,Cannabis Dispensaries,,,Santa Ana,4467.444704115641,OC3 Dispensary,False,$$,4.0,71,CA
1538 Centre St,Cannabis Dispensaries,,,Santa Ana,4595.922291224025,Super Clinik,False,$$,4.0,47,CA
441 W Canfield,Cannabis Dispensaries,Cannabis Collective,,Santa Ana,2451.0059697351717,10 Spot Collective,False,$$$$,4.0,37,CA
160 W Fort St,Cannabis Dispensaries,,,Santa Ana,4966.466507510566,Mr Nice Guy,False,$$,4.0,30,CA
2100 Michigan Ave,Cannabis Dispensaries,,,Santa Ana,3660.216029559591,Evergreen,False,$$,4.0,23,CA
2030 Park Ave,Cannabis Clinics,Cannabis Dispensaries,,Santa Ana,4241.360368308549,Stoney Cannabis Delivery,False,$,3.5,44,CA
1426 Bagley Ave,Cannabis Dispensaries,,,Santa Ana,4191.453902444791,OutCo OC,False,$,5.0,7,CA
800 Woodward Ave,Cannabis Dispensaries,,,Irvine,4992.846622311745,Surfside Canna Connection,False,$$,5.0,3,CA
1234 Library St,Cannabis Dispensaries,Cannabis Collective,Medical Cannabis Referrals,Costa Mesa,4786.58735823642,Temple of Supreme Purity,False,$$,4.5,10,CA
400 E Congress St,Cannabis Dispensaries,,,Costa Mesa,5301.151958380003,Long Lodge Tribal Enterprises,False,$$,3.0,21,CA
1416 E Fisher Fwy,Cannabis Clinics,Cannabis Dispensaries,,Dana Point,4709.450915447322,Riviera,False,$$,5.0,7,CA
20510 Livernois Ave,Cannabis Dispensaries,,,Orange,10114.547072546644,BuDelivery Orange,False,$,5.0,4,CA
8047 Agnes St,Cannabis Clinics,Cannabis Dispensaries,,Los Angeles,7794.328846704235,Green Door West Delivery,False,$$,4.5,38,CA
4620 Cass Ave,Cannabis Dispensaries,Couriers & Delivery Services,,Newport Beach,2363.2455221110486,Bud Man Delivery - Newport Beach,False,$$,5.0,2,CA
2130 Michigan Ave,Cannabis Clinics,Cannabis Dispensaries,,San Jose,3651.2396598594514,Harborside,False,$$,4.0,128,CA
2520 Michigan Ave,Cannabis Dispensaries,Cannabis Collective,,San Jose,3522.0292933785536,Elemental Wellness,False,$$,4.0,132,CA
2163 Michigan Ave,Cannabis Collective,Cannabis Dispensaries,Cannabis Clinics,San Francisco,3683.7013418574566,SAVA,False,$$,5.0,24,CA
160 W Fort St,Cannabis Dispensaries,,,Oakland,4966.466507510566,Herbi,False,$$,4.0,22,CA
624 Brush St,Cannabis Dispensaries,,,Milpitas,5244.930545930927,Budee,False,$$$,2.0,32,CA
78 W Adams Ave,Cannabis Dispensaries,,,San Mateo,4284.553921587478,Higher Ground Delivery,False,$$,4.0,4,CA
30 Clifford St,Cannabis Dispensaries,,,Santa Cruz,4542.582598180416,California Greens Express,False,$$,4.5,6,CA
400 E Congress St,Cannabis Dispensaries,,,Hayward,5301.151958380003,Weed Now,False,$,2.5,8,CA
15 E Kirby St,Cannabis Clinics,Medical Spas,,Santa Ana,2060.390173028952,Steady Care Medical Clinic,False,$,4.5,100,CA
1413 Brooklyn St,Cannabis Dispensaries,,,Santa Ana,4401.3703833712,MedMen Santa Ana,False,$$,4.5,91,CA
225 Gratiot Ave,Cannabis Dispensaries,,,Santa Ana,4820.605367433968,People's OC,False,$$,3.5,246,CA
47 Watson St,Cannabis Dispensaries,Cannabis Tours,,Buena Park,3488.0998284615575,FlyBuds,False,$$,5.0,32,CA
