Overall Rank,City,State,Combine,Total Score
1,Plano,TX,PlanoTX,72.3
2,Irvine,CA,IrvineCA,71.86
3,Madison,WI,MadisonWI,71.81
4,Fremont,CA,FremontCA,71.17
5,Huntington Beach,CA,Huntington BeachCA,69.74
6,Fargo,ND,FargoND,69.57
7,Grand Prairie,TX,Grand PrairieTX,69.3
8,San Jose,CA,San JoseCA,68.9
9,Scottsdale,AZ,ScottsdaleAZ,68.24
10,San Francisco,CA,San FranciscoCA,67.53
11,Bismarck,ND,BismarckND,67.38
12,Overland Park,KS,Overland ParkKS,67.37
13,Santa Rosa,CA,Santa RosaCA,67.18
14,Austin,TX,AustinTX,67.16
15,Sioux Falls,SD,Sioux FallsSD,66.97
16,Pearl City,HI,Pearl CityHI,66.77
17,Glendale,CA,GlendaleCA,66.25
18,San Diego,CA,San DiegoCA,66.01
19,St. Paul,MN,St. PaulMN,65.79
20,Charleston,SC,CharlestonSC,65.48
21,Gilbert,AZ,GilbertAZ,65.07
22,Anaheim,CA,AnaheimCA,65.02
23,Raleigh,NC,RaleighNC,64.99
24,Cape Coral,FL,Cape CoralFL,64.96
25,Cedar Rapids,IA,Cedar RapidsIA,64.9
26,Minneapolis,MN,MinneapolisMN,64.82
27,Chula Vista,CA,Chula VistaCA,64.54
28,Pembroke Pines,FL,Pembroke PinesFL,64.51
29,Honolulu,HI,HonoluluHI,64.21
30,Des Moines,IA,Des MoinesIA,64.17
31,Irving,TX,IrvingTX,64.07
32,Santa Clarita,CA,Santa ClaritaCA,64
33,Chandler,AZ,ChandlerAZ,63.83
34,Oceanside,CA,OceansideCA,63.82
35,Omaha,NE,OmahaNE,63.5
36,Lincoln,NE,LincolnNE,63.43
37,Oakland,CA,OaklandCA,63.16
38,Billings,MT,BillingsMT,62.82
39,Tempe,AZ,TempeAZ,62.8
40,Garden Grove,CA,Garden GroveCA,62.7
41,Denver,CO,DenverCO,62.41
42,Fort Worth,TX,Fort WorthTX,62.35
43,Burlington,VT,BurlingtonVT,62.31
44,Peoria,AZ,PeoriaAZ,62.3
45,Port St. Lucie,FL,Port St. LucieFL,61.96
46,Boise,ID,BoiseID,61.94
47,Garland,TX,GarlandTX,61.86
48,Aurora,CO,AuroraCO,61.83
49,Arlington,TX,ArlingtonTX,61.73
49,El Paso,TX,El PasoTX,61.73
51,Washington,DC,WashingtonDC,61.68
52,Charlotte,NC,CharlotteNC,61.22
53,Fort Lauderdale,FL,Fort LauderdaleFL,61.16
54,Seattle,WA,SeattleWA,61.11
55,Aurora,IL,AuroraIL,61.05
56,Missoula,MT,MissoulaMT,60.99
57,Santa Ana,CA,Santa AnaCA,60.96
58,Boston,MA,BostonMA,60.96
