city - Original,City,State - Long,State,2010,2011,2012,2013,2014,2015,2016,2017
Birmingham city,Birmingham, Alabama,AL,211739,211516,210660,211094,210998,211621,211263,210710
Montgomery city,Montgomery, Alabama,AL,205616,205193,203814,202226,201243,200798,200066,199518
Huntsville city,Huntsville, Alabama,AL,180924,182122,183463,185662,187506,189975,191956,194585
Mobile city,Mobile, Alabama,AL,194582,193989,193776,193429,192856,192223,191590,190265
Tuscaloosa city,Tuscaloosa, Alabama,AL,90537,91408,92649,94148,95941,97795,98767,100287
Hoover city,Hoover, Alabama,AL,80833,81363,82674,83280,83705,84294,84551,84920
Dothan city,Dothan, Alabama,AL,65953,66475,67083,67540,68009,68192,68172,68202
Auburn city,Auburn, Alabama,AL,53753,54912,57029,58662,60236,61657,62703,63973
Decatur city,Decatur, Alabama,AL,55811,55881,55794,55422,55220,54966,54605,54405
Anchorage municipality,Anchorage, Alaska,AK,293370,296291,298520,301081,300296,298018,297376,294356
Gilbert town,Gilbert, Arizona,AZ,209446,211427,215885,221603,227297,232399,237135,242354
Phoenix city,Phoenix, Arizona,AZ,1449039,1467519,1495880,1521182,1547729,1575039,1602042,1626078
Tucson city,Tucson, Arizona,AZ,523832,526615,527439,528067,529392,529880,531547,535677
Mesa city,Mesa, Arizona,AZ,440952,446941,455881,463124,470722,479108,487376,496401
Chandler city,Chandler, Arizona,AZ,236486,236861,237682,239905,240898,243681,247838,253458
Scottsdale city,Scottsdale, Arizona,AZ,217550,220383,224587,227993,232683,239649,246204,249950
Glendale city,Glendale, Arizona,AZ,226127,228802,232953,236349,238672,241800,244168,246709
Tempe city,Tempe, Arizona,AZ,162297,164208,168157,170144,174782,178154,183683,185038
Peoria city,Peoria, Arizona,AZ,154896,155052,155354,156373,157779,160430,164205,168181
Surprise city,Surprise, Arizona,AZ,117663,119449,122005,124613,127255,129633,131980,134085
Yuma city,Yuma, Arizona,AZ,91326,94121,93524,92711,93146,93405,94431,95502
Avondale city,Avondale, Arizona,AZ,76220,77145,78525,79451,80307,81457,82716,84025
Goodyear city,Goodyear, Arizona,AZ,65473,66565,67802,70376,72339,74817,77411,79858
Flagstaff city,Flagstaff, Arizona,AZ,66145,66080,67900,68028,68502,69895,71060,71975
Buckeye city,Buckeye, Arizona,AZ,51393,52520,54415,56616,59109,61636,64639,68453
Casa Grande city,Casa Grande, Arizona,AZ,48971,48854,49327,49562,51078,52400,53960,55477
Lake Havasu City city,Lake Havasu City, Arizona,AZ,52578,52769,52774,52761,53003,53387,53793,54411
Little Rock city,Little Rock, Arkansas,AR,193899,195048,196228,196830,197235,197864,198307,198606
Fort Smith city,Fort Smith, Arkansas,AR,86290,87134,87521,87298,87083,87668,87675,88037
Fayetteville city,Fayetteville, Arkansas,AR,73952,75503,76793,78497,80255,82141,83327,85257
Springdale city,Springdale, Arkansas,AR,71093,72322,73506,74934,76043,77303,78419,79599
Jonesboro city,Jonesboro, Arkansas,AR,67555,68943,70352,71506,72204,73641,74683,75866
Rogers city,Rogers, Arkansas,AR,56259,58045,59410,60427,61831,63352,65011,66430
North Little Rock city,North Little Rock, Arkansas,AR,62452,63444,64579,65869,66583,66314,66066,65911
Conway city,Conway, Arkansas,AR,59588,61519,62680,63229,64045,64395,64854,65782
Apple Valley town,Apple Valley, California,CA,69313,70069,70480,70832,71298,71921,72426,73077
Los Angeles city,Los Angeles, California,CA,3796060,3824592,3859267,3891783,3922668,3953459,3981116,3999759
San Diego city,San Diego, California,CA,1306176,1320638,1338975,1358207,1379123,1391040,1406682,1419516
San Jose city,San Jose, California,CA,955255,971352,985722,1003735,1016708,1027560,1031942,1035317
San Francisco city,San Francisco, California,CA,805770,816294,830406,841270,853258,866320,876103,884363
Fresno city,Fresno, California,CA,497772,501851,506293,510009,515416,519650,522792,527438
Sacramento city,Sacramento, California,CA,467382,471170,474804,478927,483629,488952,494894,501901
Long Beach city,Long Beach, California,CA,462559,465032,467929,469297,470713,471967,470852,469450
Oakland city,Oakland, California,CA,391571,396480,401906,407567,413933,418929,421566,425195
Bakersfield city,Bakersfield, California,CA,349322,353836,358317,363998,368461,373253,376944,380874
Anaheim city,Anaheim, California,CA,337177,340511,343102,345019,345959,349732,351661,352497
Santa Ana city,Santa Ana, California,CA,325427,328571,331222,334538,334398,334472,334953,334136
Riverside city,Riverside, California,CA,305571,309726,312770,316079,318352,321179,324336,327728
Stockton city,Stockton, California,CA,292497,295208,297162,297743,301373,304723,307270,310496
Irvine city,Irvine, California,CA,213435,220454,229456,236574,247804,256186,266385,277453
Chula Vista city,Chula Vista, California,CA,244693,248540,252843,257248,260561,265008,267203,270471
Fremont city,Fremont, California,CA,214619,217580,221847,225282,228820,232061,233801,234962
San Bernardino city,San Bernardino, California,CA,210182,211816,212969,213690,214200,215350,216018,216995
Modesto city,Modesto, California,CA,203344,204207,205406,206535,208250,209938,212035,214221
Fontana city,Fontana, California,CA,197370,200046,201534,203084,204471,206720,209268,211815
Santa Clarita city,Santa Clarita, California,CA,204299,205557,206703,207600,208740,209848,210349,210888
Oxnard city,Oxnard, California,CA,198512,200101,201416,203246,205076,206908,208303,210037
Moreno Valley city,Moreno Valley, California,CA,194279,196726,198479,200529,202216,203325,205090,207226
Glendale city,Glendale, California,CA,191748,192850,194275,195841,198896,199968,201039,203054
Huntington Beach city,Huntington Beach, California,CA,191342,193184,194563,197588,200188,201300,201004,201874
