City,Density,Population,square miles
"Abilene, Texas",1145,122225,107
"Akron, Ohio",3186,197633,62
"Alameda, California",7437,78906,11
"Albany, Georgia",1339,73801,55
"Albany, New York",4587,98111,21
"Albany, Oregon",3034,53211,18
"Albuquerque, New Mexico",2979,559277,188
"Alexandria, Virginia",10367,155810,15
"Alhambra, California",11202,85474,8
"Aliso Viejo, California",6884,51424,7
"Allen, Texas",3772,99179,26
"Allentown, Pennsylvania",6863,120443,18
"Alpharetta, Georgia",2428,65338,27
"Amarillo, Texas",2006,199582,99
"Ames, Iowa",2734,66191,24
"Anaheim, California",7043,351043,50
"Anchorage, Alaska",175,298192,"1,705"
"Anderson, Indiana",1333,55130,41
"Ankeny, Iowa",1999,58627,29
"Ann Arbor, Michigan",4340,120782,28
"Antioch, California",3912,110898,28
"Apple Valley, California",991,72553,73
"Apple Valley, Minnesota",3082,51957,17
"Appleton, Wisconsin",3057,74370,24
"Arcadia, California",5354,58523,11
"Arlington Heights, Illinois",4547,75525,17
"Arlington, Texas",4096,392772,96
"Arvada, Colorado",3342,117453,35
"Asheville, North Carolina",1984,89121,45
"Athens-Clarke County, Georgia",1060,123371,116
"Atlanta, Georgia",3549,472522,133
"Auburn, Alabama",1087,63118,58
"Auburn, Washington",2616,77472,30
"Augusta-Richmond County, Georgia",652,197081,302
"Aurora, Colorado",2338,361710,155
"Aurora, Illinois",4475,201110,45
"Austin, Texas",3182,947890,298
"Avondale, Arizona",1818,82881,46
"Bakersfield, California",2648,376380,142
"Baldwin Park, California",11533,76464,7
"Baltimore, Maryland",7594,614664,81
"Bartlett, Tennessee",2200,58622,27
"Baton Rouge, Louisiana",2959,227715,77
"Battle Creek, Michigan",1209,51534,43
"Bayonne, New Jersey",11420,66238,6
"Baytown, Texas",2144,75992,35
"Beaumont, Texas",1429,118299,83
"Beaverton, Oregon",5210,97590,19
"Bellevue, Nebraska",3376,53505,16
"Bellevue, Washington",4423,141400,32
"Bellflower, California",12711,77790,6
"Bellingham, Washington",3234,87574,27
"Bend, Oregon",2760,91122,33
"Berkeley, California",11580,121240,10
"Berwyn, Illinois",14258,55748,4
"Bethlehem, Pennsylvania",3942,75293,19
"Billings, Montana",2541,110323,43
"Birmingham, Alabama",1452,212157,146
"Bismarck, North Dakota",2348,72417,31
"Blaine, Minnesota",1858,62892,34
"Bloomington, Illinois",2866,78005,27
"Bloomington, Indiana",3647,84465,23
"Bloomington, Minnesota",2460,85319,35
"Blue Springs, Missouri",2444,54431,22
"Boca Raton, Florida",3277,96114,29
