City,2010,2011,2012,2013,2014,2015,2016,2017
Plano,261236.0,267175.0,272414.0,274771.0,277914.0,283006.0,286132.0,286143.0
Irvine,213435.0,220454.0,229456.0,236574.0,247804.0,256186.0,266385.0,277453.0
Madison,233637.0,236881.0,239904.0,243046.0,245584.0,248269.0,252107.0,255214.0
Fremont,214619.0,217580.0,221847.0,225282.0,228820.0,232061.0,233801.0,234962.0
Huntington Beach,191342.0,193184.0,194563.0,197588.0,200188.0,201300.0,201004.0,201874.0
Fargo,105935.0,107703.0,110237.0,113817.0,115803.0,118147.0,120356.0,122359.0
Grand Prairie,175970.0,178859.0,181982.0,183891.0,185718.0,188197.0,191874.0,193837.0
San Jose,955255.0,971352.0,985722.0,1003735.0,1016708.0,1027560.0,1031942.0,1035317.0
Scottsdale,217550.0,220383.0,224587.0,227993.0,232683.0,239649.0,246204.0,249950.0
San Francisco,805770.0,816294.0,830406.0,841270.0,853258.0,866320.0,876103.0,884363.0
Mobile,194582.0,193989.0,193776.0,193429.0,192856.0,192223.0,191590.0,190265.0
Newark,277332.0,278078.0,278790.0,280005.0,281660.0,282854.0,284386.0,285154.0
Huntington,49176.0,49097.0,49095.0,48833.0,48478.0,48169.0,47602.0,47079.0
Little Rock,193899.0,195048.0,196228.0,196830.0,197235.0,197864.0,198307.0,198606.0
Gulfport,67897.0,68810.0,69740.0,70759.0,71109.0,71262.0,71523.0,71822.0
Cleveland,395978.0,392723.0,391596.0,391555.0,390653.0,389009.0,387451.0,385525.0
Birmingham,211739.0,211516.0,210660.0,211094.0,210998.0,211621.0,211263.0,210710.0
Charleston,51277.0,50970.0,50838.0,50635.0,50109.0,49431.0,48769.0,47929.0
Toledo,286994.0,285303.0,283062.0,282106.0,280500.0,279613.0,278606.0,276491.0
Detroit,711043.0,704640.0,699385.0,690845.0,681499.0,678250.0,675480.0,673104.0
