City,State abb,Overall Rank,Total Score,Emotional & Physical Well Being Rank,Income & Employment Rank,Community & Environment Rank
Plano,TX,1,72.3,7,6,8
Irvine,CA,2,71.86,14,11,5
Madison,WI,3,71.81,3,14,7
Fremont,CA,4,71.17,10,37,1
Huntington Beach,CA,5,69.74,6,46,28
Fargo,ND,6,69.57,17,20,24
Grand Prairie,TX,7,69.3,20,35,6
San Jose,CA,8,68.9,1,18,44
Scottsdale,AZ,9,68.24,46,13,2
San Francisco,CA,10,67.53,4,2,125
Bismarck,ND,11,67.38,25,4,45
Overland Park,KS,12,67.37,22,56,26
Santa Rosa,CA,13,67.18,23,53,9
Austin,TX,14,67.16,15,8,80
Sioux Falls,SD,15,66.97,11,67,95
Pearl City,HI,16,66.77,2,147,15
Glendale,CA,17,66.25,27,102,12
San Diego,CA,18,66.01,8,36,46
St. Paul,MN,19,65.79,18,70,66
Charleston,SC,20,65.48,74,5,4
Gilbert,AZ,21,65.07,54,48,10
Anaheim,CA,22,65.02,29,79,34
Raleigh,NC,23,64.99,13,41,87
Cape Coral,FL,24,64.96,51,87,3
Cedar Rapids,IA,25,64.9,41,58,20
Minneapolis,MN,26,64.82,5,26,137
Chula Vista,CA,27,64.54,19,117,25
Pembroke Pines,FL,28,64.51,47,89,14
Honolulu,HI,29,64.21,55,34,17
Des Moines,IA,30,64.17,39,85,37
Irving,TX,31,64.07,28,17,119
Santa Clarita,CA,32,64,24,112,77
Chandler,AZ,33,63.83,62,55,16
Oceanside,CA,34,63.82,16,156,29
Omaha,NE,35,63.5,56,80,19
Lincoln,NE,36,63.43,32,86,62
Oakland,CA,37,63.16,12,75,131
Billings,MT,38,62.82,61,33,51
Tempe,AZ,39,62.8,66,54,21
Garden Grove,CA,40,62.7,37,107,67
Denver,CO,41,62.41,21,64,116
Fort Worth,TX,42,62.35,44,90,54
Burlington,VT,43,62.31,53,10,120
Peoria,AZ,44,62.3,65,77,23
Port St. Lucie,FL,45,61.96,76,73,13
Boise,ID,46,61.94,68,19,48
Garland,TX,47,61.86,31,120,103
