Address,Category 0,Category 1,Category 2,Category 3,City,Distance,Name,Out of Business,Price,Rating,Review Count,State
3701 Dallas Pkwy,American (New),Pizza,Wine Bars,,Plano,7440.286655920432,Sixty Vines,False,$$,4.5,966,TX
5880 TX-121,Breakfast & Brunch,Bars,American (Traditional),,Plano,6904.114484084637,The Biscuit Bar,False,$,4.5,580,TX
7300 Lone Star Dr,American (New),Wine Bars,Seafood,,Plano,6644.3359311898885,Seasons 52,False,$$$,4.0,717,TX
7300 Dallas Pkwy,Steakhouses,Seafood,Wine Bars,,Plano,6692.595554132709,The Capital Grille,False,$$$,4.5,479,TX
1006 E 15th St,Pizza,Lounges,Italian,,Plano,7076.1696437451,Urban Crust,False,$$,4.0,865,TX
8240 Preston Rd,Pubs,American (Traditional),,,Plano,5558.438836690479,The Holy Grail Pub,False,$$,4.0,522,TX
4005 Preston Rd,Italian,Beer Bar,,,Plano,4212.3827098319925,Taverna Rossa,False,$$,4.0,464,TX
8908 Ohio Dr,Sushi Bars,Japanese,Beer Bar,,Plano,5556.11939128538,Sushi Lover,False,$$,4.5,268,TX
7800 Windrose Ave,Bars,Food Court,,,Plano,7009.399031521326,Legacy Hall,False,$$,4.0,776,TX
5840 Legacy Cir,Seafood,Wine Bars,,,Plano,6702.935727568274,The Keeper - Seafood & Grill,False,$$,4.5,315,TX
5880 State Hwy 121,American (Traditional),Beer Bar,,,Plano,6862.165119789186,Union Bear,False,$$,4.5,324,TX
4701 W Park Blvd,Pizza,Italian,Wine Bars,,Plano,5349.891221622499,Kenny's East Coast Pizza,False,$$,4.0,338,TX
7401 Windrose Ave,Cocktail Bars,American (New),,,Plano,7018.937249902221,Earls Kitchen + Bar,False,$$,3.5,643,TX
5800 Legacy Dr,Seafood,Bars,,,Plano,6515.759066702728,Half Shells Seafood Grill,False,$$,4.0,342,TX
3408 N Central Expy,Tex-Mex,Mexican,Bars,,Plano,5474.174354602035,Chuy's,False,$$,4.0,422,TX
3401 Preston Rd,American (New),Cocktail Bars,,,Frisco,6840.127065316251,Mash'D - Frisco,False,$$,4.0,1386,TX
1855 Dallas Pkwy,Seafood,American (Traditional),Sports Bars,,Plano,8471.5958284855,Shell Shack,False,$$,4.0,415,TX
1900 Preston Rd,Pizza,Bars,Breakfast & Brunch,,Plano,5504.895947347036,Pie Tap Pizza Workshop + Bar,False,$$,4.5,161,TX
3908 Dallas Pkwy,Mexican,Tex-Mex,Bars,,Plano,7221.887687970498,Chuy's,False,$$,4.0,359,TX
1000 E 14th St,Tex-Mex,Mexican,Beer Bar,,Plano,7173.89715275943,Urban Rio Cantina & Grill,False,$$,4.0,397,TX
6001 W Park Blvd,Italian,Bars,,,Plano,8253.852521109533,Maggiano's Little Italy,False,$$,3.5,453,TX
7250 Dallas Pkwy,Wine Bars,Steakhouses,Seafood,,Plano,6715.324208109958,Fleming's Prime Steakhouse & Wine Bar - Plano,False,$$$,4.0,214,TX
5588 State Hwy 121,Pizza,Chicken Wings,Bars,,Plano,6387.829286259431,In-Fretta,False,$$,3.5,361,TX
1410 K Ave,American (Traditional),Gastropubs,Sports Bars,,Plano,7212.447268264132,Brix Bar & Grill,False,$$,4.0,172,TX
6101 W Park Blvd,Steakhouses,Bars,Seafood,,Plano,8402.97821042736,The Keg Steakhouse + Bar - Plano,False,$$,4.0,282,TX
1011 E 15th St,Bars,American (Traditional),,,Plano,7018.139683859266,Vickery Park,False,$$,4.0,221,TX
1025 N Central Expy,Sushi Bars,Bars,Japanese,,Plano,6725.064710702412,Tokyo Harbor,False,$$,4.5,96,TX
1004 E 15th St,American (Traditional),Salad,Irish Pub,,Plano,7064.547426965641,The Fillmore Pub,False,$$,3.5,314,TX
3921 Coit Rd,American (New),Wine Bars,,,Plano,2256.3442537102087,Sip & Savor,False,$$,4.0,111,TX
3316 Preston Rd,Chicken Wings,Sports Bars,American (Traditional),,Plano,4490.158458635936,Pluckers Wing Bar,False,$$,3.5,357,TX
701 W Parker Rd,Tex-Mex,Bars,Tacos,,Plano,4862.4588676055655,Señor Locos,False,$$,4.0,231,TX
4900 West Park Blvd,Sports Bars,Burgers,American (Traditional),,Plano,5649.337185541814,Brick House Tavern + Tap,False,$$,3.5,371,TX
7200 Bishop Rd,Steakhouses,Bars,,,Plano,6466.267002621494,Del Frisco's Grille,False,$$$,3.5,266,TX
5741 Legacy Dr,American (New),Sports Bars,Seafood,,Plano,6511.206167342472,Henry's Tavern,False,$$,3.0,500,TX
6110 Frankford Rd,Southern,Beer Bar,American (Traditional),,Dallas,8643.584625227557,Whistle Britches,False,$$,4.0,883,TX
7205 Bishop Rd,Pubs,,,,Plano,6513.779690142891,The Ginger Man,False,$$,3.5,211,TX
7205 Bishop Rd,Cinema,Cafes,Bars,,Plano,6514.322931121661,Angelika Film Center & Cafe - Plano,False,$$,4.0,115,TX
641 Powell Ln,Burgers,Beer Bar,Cocktail Bars,,Plano,7186.123224603696,Rodeo Goat,False,$$,4.0,121,TX
7200 Bishop Rd,American (New),Cocktail Bars,Breakfast & Brunch,,Plano,6502.872951850344,Pepper Smash - A Cocktail Kitchen,False,$$,3.5,267,TX
1251 State St,Seafood,Cocktail Bars,Sandwiches,,Richardson,8599.479963741565,Tricky Fish,False,$$,4.5,499,TX
8604 Preston Rd,Pubs,Modern European,,,Plano,5722.746524469913,Rugby House Pub,False,$$,4.0,119,TX
2405 Dallas Pkwy,American (Traditional),Southern,Beer Bar,,Plano,8050.635325147715,Whistle Britches - Plano,False,$$,4.0,107,TX
3904 Dallas Pkwy,Cajun/Creole,Seafood,Bars,,Plano,7228.371193412402,Razzoo's Cajun Cafe,False,$$,3.5,175,TX
