,Overall Rank,City_x,State_x,Combine,Total Score,City_y,Density,Population,square miles,StateL,State_y
0,1,Plano,TX,PlanoTX,72.3,Plano,3996,286057,72, Texas,TX
1,2,Irvine,CA,IrvineCA,71.86,Irvine,4025,266122,66, California,CA
2,3,Madison,WI,MadisonWI,71.81,Madison,3289,252551,77, Wisconsin,WI
3,4,Fremont,CA,FremontCA,71.17,Fremont,3010,233136,77, California,CA
4,5,Huntington Beach,CA,Huntington BeachCA,69.74,Huntington Beach,7501,200652,27, California,CA
5,6,Fargo,ND,FargoND,69.57,Fargo,2474,120762,49, North Dakota,ND
6,7,Grand Prairie,TX,Grand PrairieTX,69.3,Grand Prairie,2645,190682,72, Texas,TX
7,8,San Jose,CA,San JoseCA,68.9,San Jose,5808,1025350,177, California,CA
8,9,Scottsdale,AZ,ScottsdaleAZ,68.24,Scottsdale,1341,246645,184, Arizona,AZ
9,10,San Francisco,CA,San FranciscoCA,67.53,San Francisco,18581,870887,47, California,CA
10,11,Bismarck,ND,BismarckND,67.38,Bismarck,2348,72417,31, North Dakota,ND
11,12,Overland Park,KS,Overland ParkKS,67.37,Overland Park,2525,188966,75, Kansas,KS
12,13,Santa Rosa,CA,Santa RosaCA,67.18,Santa Rosa,4242,175155,41, California,CA
13,14,Austin,TX,AustinTX,67.16,Austin,3182,947890,298, Texas,TX
14,15,Sioux Falls,SD,Sioux FallsSD,66.97,Sioux Falls,2390,174360,73, South Dakota,SD
15,16,Pearl City,HI,Pearl CityHI,66.77,Pearl City,4575,26534,6, Hawaii,HI
16,17,Glendale,CA,GlendaleCA,66.25,Glendale,6595,200831,30, California,CA
17,18,San Diego,CA,San DiegoCA,66.01,San Diego,4326,1406630,325, California,CA
18,19,St. Paul,MN,St. PaulMN,65.79,St. Paul,5818,302398,52, Minnesota,MN
19,20,Charleston,SC,CharlestonSC,65.48,Charleston,1233,134385,109, South Carolina,SC
20,21,Gilbert,AZ,GilbertAZ,65.07,Gilbert,3489,237133,68, Arizona,AZ
21,22,Anaheim,CA,AnaheimCA,65.02,Anaheim,7043,351043,50, California,CA
22,23,Raleigh,NC,RaleighNC,64.99,Raleigh,3211,458880,143, North Carolina,NC
23,24,Cape Coral,FL,Cape CoralFL,64.96,Cape Coral,1702,179804,106, Florida,FL
24,25,Cedar Rapids,IA,Cedar RapidsIA,64.9,Cedar Rapids,1852,131127,71, Iowa,IA
25,26,Minneapolis,MN,MinneapolisMN,64.82,Minneapolis,7664,413651,54, Minnesota,MN
26,27,Chula Vista,CA,Chula VistaCA,64.54,Chula Vista,5383,267172,50, California,CA
27,28,Pembroke Pines,FL,Pembroke PinesFL,64.51,Pembroke Pines,5090,168587,33, Florida,FL
28,29,Honolulu,HI,HonoluluHI,64.21,Honolulu,5813,351792,61, Hawaii,HI
29,30,Des Moines,IA,Des MoinesIA,64.17,Des Moines,2664,215472,81, Iowa,IA
30,31,Irving,TX,IrvingTX,64.07,Irving,3555,238289,67, Texas,TX
31,32,Santa Clarita,CA,Santa ClaritaCA,64.0,Santa Clarita,3452,181972,53, California,CA
32,33,Chandler,AZ,ChandlerAZ,63.83,Chandler,3842,247477,64, Arizona,AZ
33,34,Oceanside,CA,OceansideCA,63.82,Oceanside,4256,175464,41, California,CA
34,35,Omaha,NE,OmahaNE,63.5,Omaha,3517,446970,127, Nebraska,NE
35,36,Lincoln,NE,LincolnNE,63.43,Lincoln,3146,280364,89, Nebraska,NE
36,37,Oakland,CA,OaklandCA,63.16,Oakland,7528,420005,56, California,CA
37,38,Billings,MT,BillingsMT,62.82,Billings,2541,110323,43, Montana,MT
38,39,Tempe,AZ,TempeAZ,62.8,Tempe,4570,182498,40, Arizona,AZ
39,40,Garden Grove,CA,Garden GroveCA,62.7,Garden Grove,9747,174858,18, California,CA
40,41,Denver,CO,DenverCO,62.41,Denver,4530,693060,153, Colorado,CO
41,42,Fort Worth,TX,Fort WorthTX,62.35,Fort Worth,2513,854113,340, Texas,TX
42,43,Burlington,VT,BurlingtonVT,62.31,Burlington,647,19141,30, Vermont,VT
43,44,Peoria,AZ,PeoriaAZ,62.3,Peoria,941,164173,174, Arizona,AZ
44,45,Port St. Lucie,FL,Port St. LucieFL,61.96,Port St. Lucie,1625,185132,114, Florida,FL
45,46,Boise,ID,BoiseID,61.94,Boise,2698,223361,83, Idaho,ID
46,47,Garland,TX,GarlandTX,61.86,Garland,4116,234943,57, Texas,TX
47,48,Aurora,CO,AuroraCO,61.83,Aurora,2338,361710,155, Colorado,CO
48,49,Arlington,TX,ArlingtonTX,61.73,Arlington,4096,392772,96, Texas,TX
49,49,El Paso,TX,El PasoTX,61.73,El Paso,2676,683080,255, Texas,TX
50,51,Washington,DC,WashingtonDC,61.68,Washington,11158,681170,61, District of Columbia,DC
51,52,Charlotte,NC,CharlotteNC,61.22,Charlotte,2829,842051,298, North Carolina,NC
52,53,Fort Lauderdale,FL,Fort LauderdaleFL,61.16,Fort Lauderdale,5141,178752,35, Florida,FL
