,Location,Happiness Score,Latitude,Longitude,Name,Out of Business,Price,Rating,Review Count,Category 0,Category 1,Category 2,Category 3
0,"Plano, TX",72.3,33.0555999844179,-96.7725858092309,Densetsu,False,$$,4.0,1214,Japanese,Sushi Bars,,
1,"Plano, TX",71.86,33.0404645,-96.7338833,The Latin Pig,False,$$,4.0,667,Cuban,,,
2,"Plano, TX",71.81,33.0703699,-96.77256,The Gyro Shop,False,$,4.5,288,Halal,Mediterranean,,
3,"Plano, TX",71.17,33.0421,-96.73464,AKARI Japanese Restaurant,False,$$,4.5,172,Sushi Bars,Japanese,,
4,"Plano, TX",69.74,33.08661,-96.77108,Rusty Taco,False,$,4.0,464,Tex-Mex,Tacos,,
5,"Plano, TX",69.57,33.0706,-96.75144,Millstone Bakery,False,$,4.5,116,Bakeries,Delis,Cupcakes,
6,"Plano, TX",69.3,33.0705265046204,-96.7521306589996,Salsa Tex Mex,False,$$,4.0,265,Tex-Mex,Mexican,Latin American,
7,"Plano, TX",68.9,33.05562,-96.77307,Saucy's Thai & Pho,False,$$,4.5,207,Thai,,,
8,"Plano, TX",68.24,33.0570431392057,-96.7719610747994,Old Town Creamery,False,$,4.0,215,Ice Cream & Frozen Yogurt,Desserts,,
9,"Plano, TX",67.53,33.0738093194451,-96.7711773927292,Ferrari's Pizzeria,False,$,4.5,194,Pizza,Italian,,
10,"Plano, TX",67.38,33.072022200378,-96.7483732987419,Milky Treats Ice Cream,False,$$,4.5,110,Ice Cream & Frozen Yogurt,,,
11,"Plano, TX",67.37,33.03988,-96.7558529,Covino's Pasta & Pizza,False,$$,4.0,196,Pizza,Italian,,
12,"Plano, TX",67.18,33.03869,-96.73215,Sushi Sakana,False,$$,4.5,165,Sushi Bars,Japanese,Noodles,
13,"Plano, TX",67.16,33.0405953292575,-96.7507037102425,Lily's Cafe,False,$,4.5,140,American (Traditional),Latin American,,
14,"Plano, TX",66.97,33.0428,-96.77097,Bull Daddy Noodle Bistro,False,$,4.0,217,Taiwanese,Chinese,Noodles,
15,"Plano, TX",66.77,33.0702,-96.7708,Sunny Donuts,False,$,4.5,70,Donuts,Bakeries,,
16,"Plano, TX",66.25,33.0405038,-96.7336249,First Watch,False,$$,4.0,248,Breakfast & Brunch,Cafes,American (Traditional),
17,"Plano, TX",66.01,33.0709856498643,-96.7707239235385,Aroma Indian Cuisine,False,$$,4.0,206,Indian,,,
18,"Plano, TX",65.79,33.0392190459343,-96.7528419780487,Henry's Homemade Ice Cream,False,$,4.0,232,Ice Cream & Frozen Yogurt,,,
19,"Plano, TX",65.48,33.0750617,-96.7496149,Lita's La Mexicana,False,$$,4.0,168,Mexican,Tex-Mex,Breakfast & Brunch,
20,"Plano, TX",65.07,33.0420402597803,-96.7342822890388,Lion City Chinese Cafe,False,$,4.0,208,Chinese,Singaporean,Malaysian,
21,"Plano, TX",65.02,33.0597,-96.73189,Joe's Pasta & Pizza,False,$,4.0,149,Italian,Pizza,,
22,"Plano, TX",64.99,33.03945,-96.7525,Kesari,False,$,4.0,199,Indian,Vegetarian,,
23,"Plano, TX",64.96,33.05118,-96.77083,Sip & Savor,False,$$,4.0,111,American (New),Wine Bars,,
24,"Plano, TX",64.9,33.040326,-96.753801,Saigon Street Viet Cuisine,False,$$,4.0,163,Vietnamese,,,
25,"Plano, TX",64.82,33.056902,-96.772419,Pho Texas,False,$,4.0,111,Vietnamese,,,
26,"Plano, TX",64.54,33.0428927343057,-96.7338865556391,Olive Burger - Plano,False,$,4.0,174,Burgers,Sandwiches,,
27,"Plano, TX",64.51,33.0399391,-96.7341858,Dubs Tea N Eats,False,$,5.0,40,Coffee & Tea,Pretzels,Cafes,
28,"Plano, TX",64.21,33.0407954549294,-96.7357746742877,Mama's Pizza,False,$,4.0,165,Pizza,Buffets,,
29,"Plano, TX",64.17,33.070143553405,-96.772840997709,Little Gus Cafe,False,$,3.5,187,Breakfast & Brunch,Cafes,,
30,"Plano, TX",64.07,33.073577,-96.7488149,Angelo & Vito's Pizzeria,False,$,3.5,160,Pizza,Italian,,
31,"Plano, TX",64.0,33.0415365,-96.7539324,Sugar and Spice Bakery,False,$$,4.5,65,Bakeries,Desserts,Cupcakes,
32,"Plano, TX",63.83,33.069527,-96.775036,369 BBQ,False,$$,3.5,178,Chinese,,,
33,"Plano, TX",63.82,33.04011,-96.73478,Wild Mirchi Indian Grill,False,$$,4.0,176,Indian,,,
34,"Plano, TX",63.5,33.08504,-96.77339,Andhra Cafe,False,$,4.5,58,Indian,,,
35,"Plano, TX",63.43,33.08661,-96.77108,Lebanese Grill,False,$$,4.0,114,Lebanese,Mediterranean,Persian/Iranian,
36,"Plano, TX",63.16,33.05792,-96.7698,Chick-fil-A,False,$,4.5,55,Fast Food,,,
37,"Plano, TX",62.82,33.0397414690454,-96.7541600185242,Lucky City,False,$$,3.5,121,Chinese,Asian Fusion,,
38,"Plano, TX",62.8,33.040394,-96.753789,Sushi Shack All You Can Eat Japanese Sushi Restaurant,False,$$,3.5,234,Sushi Bars,Japanese,,
39,"Plano, TX",62.7,33.0594881882246,-96.7329832689898,China Ocean,False,$,4.0,108,Chinese,Seafood,Noodles,
40,"Plano, TX",62.41,33.041374,-96.736206,El Norte Mexican Grill,False,$$,3.5,170,Mexican,Tex-Mex,,
41,"Plano, TX",62.35,33.0574404106353,-96.7314235474796,Thai Jasmine Thai Cuisine,False,$$,3.5,107,Thai,Seafood,Noodles,
42,"Plano, TX",62.31,33.0414562495919,-96.7537512698364,Country Burger,False,$,3.5,135,Burgers,Salad,Sandwiches,
43,"Plano, TX",62.3,33.0703699,-96.77256,Sushi Go,False,$$,4.5,40,Japanese,Sushi Bars,,
44,"Plano, TX",61.96,33.0702018737793,-96.7707977294922,Aki Sushi,False,$$,4.0,80,Japanese,Sushi Bars,,
45,"Plano, TX",61.94,33.05811,-96.75192,Crescent Moon,False,$$,3.5,107,Chinese,Halal,Breakfast & Brunch,
46,"Plano, TX",61.86,33.05739,-96.73247,Mozart Bakery,False,$$,3.5,105,Bakeries,,,
47,"Plano, TX",61.83,33.0703583,-96.7725525,Tea2go,False,$,5.0,23,Tea Rooms,,,
48,"Irvine, CA",61.73,33.6842352575347,-117.809287082414,California Fish Grill,False,$$,4.0,2586,Seafood,Fish & Chips,,
49,"Irvine, CA",61.73,33.6900662,-117.7707037,House of Shabu Shabu,False,$$,4.0,2172,Japanese,Hot Pot,,
50,"Irvine, CA",61.68,33.6890193656519,-117.771570027414,BAMBU,False,$,4.5,969,Coffee & Tea,Juice Bars & Smoothies,Bubble Tea,
51,"Irvine, CA",61.22,33.6795539855957,-117.794731140137,The Burnt Truck,False,$,4.5,773,Food Trucks,American (Traditional),Asian Fusion,
52,"Irvine, CA",61.16,33.684809,-117.810616,Urban Plates,False,$$,4.0,1618,American (New),Salad,Sandwiches,
53,"Irvine, CA",61.11,33.688076,-117.771562,A & J Restaurant,False,$,4.0,1794,Chinese,Taiwanese,Noodles,
54,"Irvine, CA",61.05,33.7080399,-117.78377,Kang Ho Dong Baekjeong,False,$$,4.5,1176,Korean,Barbeque,,
55,"Irvine, CA",60.99,33.7060931279883,-117.787043342085,Burntzilla,False,$,4.0,1177,Hot Dogs,Burgers,American (Traditional),
56,"Irvine, CA",60.96,33.6967263159132,-117.798274755478,All That Barbecue,False,$$,4.0,1937,Korean,Barbeque,,
57,"Irvine, CA",60.96,33.680972,-117.77883,Miyabi Shabu and Grill,False,$$,4.0,820,Japanese,Hot Pot,,
