,Category 0,Category 1,Category 2,Category 3,Latitude,Location,Longitude,Name,Out of Business,Price,Rating,Review Count
0,Thai,,,,33.05562,"Plano, TX",-96.77307,Saucy's Thai & Pho,False,$$,4.5,209
1,Cuban,,,,33.0404645,"Plano, TX",-96.7338833,The Latin Pig,False,$$,4.0,669
2,Pizza,Italian,,,33.0738093194451,"Plano, TX",-96.7711773927292,Ferrari's Pizzeria,False,$,4.5,194
3,Japanese,Sushi Bars,,,33.0555999844179,"Plano, TX",-96.7725858092309,Densetsu,False,$$,4.0,1217
4,Halal,Mediterranean,,,33.0703699,"Plano, TX",-96.77256,The Gyro Shop,False,$,4.5,290
5,Taiwanese,Chinese,Noodles,,33.0428,"Plano, TX",-96.77097,Bull Daddy Noodle Bistro,False,$,4.0,218
6,American (New),Wine Bars,,,33.05118,"Plano, TX",-96.77083,Sip & Savor,False,$$,4.0,111
7,Sushi Bars,Japanese,,,33.0421,"Plano, TX",-96.73464,AKARI Japanese Restaurant,False,$$,4.5,172
8,American (Traditional),Latin American,,,33.0405953292575,"Plano, TX",-96.7507037102425,Lily's Cafe,False,$,4.5,140
9,Tex-Mex,Mexican,Latin American,,33.0705265046204,"Plano, TX",-96.7521306589996,Salsa Tex Mex,False,$$,4.0,266
10,Indian,,,,33.0709856498643,"Plano, TX",-96.7707239235385,Aroma Indian Cuisine,False,$$,4.0,207
11,Tex-Mex,Tacos,,,33.08661,"Plano, TX",-96.77108,Rusty Taco,False,$,4.0,464
12,Indian,,,,33.08504,"Plano, TX",-96.77339,Andhra Cafe,False,$,4.5,58
13,Chinese,Seafood,Noodles,,33.0594881882246,"Plano, TX",-96.7329832689898,China Ocean,False,$,4.0,108
14,Dim Sum,Cantonese,,,33.07135,"Plano, TX",-96.7706199,Zhang's Kitchen,False,$$,3.5,131
15,Lebanese,Mediterranean,Persian/Iranian,,33.08661,"Plano, TX",-96.77108,Lebanese Grill,False,$$,4.0,114
16,Vietnamese,,,,33.056902,"Plano, TX",-96.772419,Pho Texas,False,$,4.0,111
17,Italian,Pizza,,,33.0597,"Plano, TX",-96.73189,Joe's Pasta & Pizza,False,$,4.0,149
18,Chinese,Singaporean,Malaysian,,33.0420402597803,"Plano, TX",-96.7342822890388,Lion City Chinese Cafe,False,$,4.0,208
19,Mexican,Tex-Mex,Breakfast & Brunch,,33.0750617,"Plano, TX",-96.7496149,Lita's La Mexicana,False,$$,4.0,169
20,Pizza,Italian,,,33.03988,"Plano, TX",-96.7558529,Covino's Pasta & Pizza,False,$$,4.0,197
21,Indian,,,,33.04011,"Plano, TX",-96.73478,Wild Mirchi Indian Grill,False,$$,4.0,178
22,Chicken Wings,Burgers,,,33.041471,"Plano, TX",-96.755211,Wing Daddy's Sauce House - Plano,False,$$,3.5,131
23,Szechuan,Hot Pot,,,33.0555022,"Plano, TX",-96.7730468,Squares Hot Pot,False,$$,4.0,47
24,Burgers,Sandwiches,,,33.0428927343057,"Plano, TX",-96.7338865556391,Olive Burger - Plano,False,$,4.0,175
25,Pizza,,,,33.0750582609194,"Plano, TX",-96.7495774850249,ZaLat Pizza,False,$$,4.0,65
26,Modern European,Mediterranean,,,33.0578994750977,"Plano, TX",-96.7719497680664,King Kabob,False,$$,3.5,79
27,Modern European,,,,33.0702018737793,"Plano, TX",-96.7707977294922,Euro Deli Too,False,$,4.5,17
28,Thai,Seafood,Noodles,,33.0574404106353,"Plano, TX",-96.7314235474796,Thai Jasmine Thai Cuisine,False,$$,3.5,107
29,Chinese,,,,33.069527,"Plano, TX",-96.775036,369 BBQ,False,$$,3.5,178
30,Indian,Halal,Pakistani,,33.05764,"Plano, TX",-96.76862,Plano Village Restaurant,False,$,4.0,16
31,Pizza,Italian,,,33.073577,"Plano, TX",-96.7488149,Angelo & Vito's Pizzeria,False,$,3.5,161
32,Chinese,Asian Fusion,,,33.0397414690454,"Plano, TX",-96.7541600185242,Lucky City,False,$$,3.5,121
33,Pizza,Buffets,,,33.0407954549294,"Plano, TX",-96.7357746742877,Mama's Pizza,False,$,4.0,165
34,Bakeries,Delis,Cupcakes,,33.0706,"Plano, TX",-96.75144,Millstone Bakery,False,$,4.5,117
35,Sushi Bars,Japanese,Noodles,,33.03869,"Plano, TX",-96.73215,Sushi Sakana,False,$$,4.5,164
36,Breakfast & Brunch,Cafes,American (Traditional),,33.0405038,"Plano, TX",-96.7336249,First Watch,False,$$,4.0,246
37,Indian,Vegetarian,,,33.03945,"Plano, TX",-96.7525,Kesari,False,$,4.0,200
38,Sports Bars,Karaoke,American (Traditional),,33.058738,"Plano, TX",-96.77195,Lantern St Grill & Tap House,False,$$,3.5,55
39,Chicken Wings,Halal,,,33.0585851,"Plano, TX",-96.7318451,Dallas Kabob House,False,$,3.5,78
40,Indian,Pakistani,,,33.0578839950276,"Plano, TX",-96.7722589150071,7 Spice Halal Indian & Pakistani Cuisine,False,$,4.0,43
41,Chinese,,,,33.04188,"Plano, TX",-96.751816,East Wall Chinese Cuisine,False,$$,3.5,42
42,Vietnamese,Soup,,,33.03945,"Plano, TX",-96.7525,Pho My,False,$,4.0,28
43,Coffee & Tea,Pretzels,Cafes,,33.0399391,"Plano, TX",-96.7341858,Dubs Tea N Eats,False,$,5.0,41
44,Fast Food,,,,33.05792,"Plano, TX",-96.7698,Chick-fil-A,False,$,4.5,55
45,Chinese,Soup,,,33.0731101,"Plano, TX",-96.7499951,Tasty Eggroll,False,$,3.5,83
46,Japanese,Sushi Bars,,,33.0702018737793,"Plano, TX",-96.7707977294922,Aki Sushi,False,$$,4.0,81
47,Chinese,Noodles,Soup,,33.6805,"Irvine, CA",-117.7785,Noodology,False,$$,4.0,467
48,Seafood,Bars,Live/Raw Food,,33.7062108563672,"Irvine, CA",-117.785603870561,EMC Seafood & Raw Bar,False,$$,4.0,1623
49,Ramen,,,,33.7050469654707,"Irvine, CA",-117.785043623797,Kitakata Ramen Ban Nai - Irvine,False,$$,4.5,83
50,American (New),Burgers,,,33.6687986,"Irvine, CA",-117.7867064,The Stand,False,$$,4.5,566
51,Korean,Barbeque,,,33.7080399,"Irvine, CA",-117.78377,Kang Ho Dong Baekjeong,False,$$,4.5,1187
52,Seafood,Fish & Chips,,,33.6842352575347,"Irvine, CA",-117.809287082414,California Fish Grill,False,$$,4.0,2587
53,Burgers,American (Traditional),Breakfast & Brunch,,33.6832606193866,"Irvine, CA",-117.813130966795,The Cut,False,$$,4.5,706
54,Mediterranean,,,,33.685125,"Irvine, CA",-117.8106676,CAVA,False,$$,4.0,623
55,Chinese,Taiwanese,Noodles,,33.688076,"Irvine, CA",-117.771562,A & J Restaurant,False,$,4.0,1798
56,Korean,,,,33.7065139690351,"Irvine, CA",-117.78377515196,Chan Chan Food House,False,$$,4.0,376
57,Taiwanese,Noodles,Soup,,33.6810747,"Irvine, CA",-117.7788766,Kingchops,False,$$,4.0,405
58,American (Traditional),Barbeque,Salad,,33.68551,"Irvine, CA",-117.81124,Stonefire Grill,False,$$,4.0,1157
59,Korean,Barbeque,Seafood,,33.66847,"Irvine, CA",-117.78542,I Can Barbecue,False,$$,4.0,728
60,American (New),Cocktail Bars,Breakfast & Brunch,,33.6547764858565,"Irvine, CA",-117.780172175428,Two Left Forks,False,$$,4.0,386
61,Sushi Bars,Japanese,,,33.6550170496394,"Irvine, CA",-117.77772164418,O Fine Japanese Cuisine,False,$$,4.0,870
62,Japanese,Hot Pot,,,33.680972,"Irvine, CA",-117.77883,Miyabi Shabu and Grill,False,$$,4.0,820
63,American (New),Salad,Sandwiches,,33.684809,"Irvine, CA",-117.810616,Urban Plates,False,$$,4.0,1624
64,Hot Dogs,Burgers,American (Traditional),,33.7060931279883,"Irvine, CA",-117.787043342085,Burntzilla,False,$,4.0,1180
65,Vietnamese,Noodles,,,33.6811382060949,"Irvine, CA",-117.804737276721,Pho Ba Co,False,$$,4.0,1175
66,Japanese,Hot Pot,,,33.6900662,"Irvine, CA",-117.7707037,House of Shabu Shabu,False,$$,4.0,2180
67,Pizza,Italian,Salad,,33.668647,"Irvine, CA",-117.7850638,Square One Pizza Cafe,False,$$,4.0,442
68,Korean,Barbeque,,,33.6967263159132,"Irvine, CA",-117.798274755478,All That Barbecue,False,$$,4.0,1941
69,Korean,Soup,Noodles,,33.695969,"Irvine, CA",-117.764616,Tang 190,False,$$,4.0,780
70,Korean,,,,33.7049539621318,"Irvine, CA",-117.772674411535,Seoul Haus,False,$$,4.0,319
71,Mediterranean,American (Traditional),Middle Eastern,,33.67107,"Irvine, CA",-117.78909,Olives Branch Express,False,$$,4.5,208
72,Vietnamese,Noodles,Bubble Tea,,33.684108,"Irvine, CA",-117.811898,Ha Long Vietnamese Cuisine,False,$,4.0,755
73,Ramen,Noodles,,,33.70676,"Irvine, CA",-117.78337,Hokkaido Ramen Santouka,False,$$,4.0,602
74,Asian Fusion,Cantonese,,,33.697422,"Irvine, CA",-117.798979,Tasty Garden,False,$$,3.0,622
75,Chinese,Noodles,,,33.6841768,"Irvine, CA",-117.8119836,Capital Noodle Bar,False,$$,3.5,696
76,Chinese,Korean,Chicken Wings,,33.6584149,"Irvine, CA",-117.803118,Chun Ha Jjambbong / Two Ddak Two Ddak,False,$,4.0,95
77,Taiwanese,Hot Pot,Comfort Food,,33.7072942946735,"Irvine, CA",-117.78256935582,Boiling Point,False,$$,3.5,1777
78,Dim Sum,Barbeque,Cantonese,,33.6959873511833,"Irvine, CA",-117.798034847904,Sam Woo Restaurant & BBQ Express,False,$$,3.5,1255
79,Burgers,Ice Cream & Frozen Yogurt,Hot Dogs,,33.671683,"Irvine, CA",-117.789418,"MOOYAH Burgers, Fries & Shakes",False,$,4.0,473
