,Category 0,Category 1,Category 2,Latitude,Location,Longitude,Name,Out of Business,Price,Rating,Review Count,Happiness Score
0,Pool Halls,American (Traditional),Sports Bars,33.04213,"Plano, TX",-96.75218,End Zone Plano,False,$,3.5,80,72.3
1,Sports Bars,Karaoke,American (Traditional),33.058738,"Plano, TX",-96.77195,Lantern St Grill & Tap House,False,$$,3.5,55,71.86
2,American (Traditional),Bars,,33.0387001037598,"Plano, TX",-96.7321548461914,The Franchise Grill & Bar,False,$$,3.0,98,71.81
3,American (New),Wine Bars,,33.05118,"Plano, TX",-96.77083,Sip & Savor,False,$$,4.0,111,71.17
4,Barbeque,Breweries,Distilleries,33.66824,"Irvine, CA",-117.76296,Left Coast Brewing Co - Irvine,False,$$,3.5,216,69.74
5,Pubs,,,33.7052771,"Irvine, CA",-117.7867951,Backstreet Brewery,False,$$,3.0,35,69.57
6,Wine Bars,Tapas/Small Plates,Beer Bar,33.6551021120526,"Irvine, CA",-117.77784705162,Bacchus Bar & Bistro,False,$$,4.0,306,69.3
7,Seafood,Bars,Live/Raw Food,33.7062108563672,"Irvine, CA",-117.785603870561,EMC Seafood & Raw Bar,False,$$,4.0,1617,68.9
8,American (New),Cocktail Bars,Breakfast & Brunch,33.6547764858565,"Irvine, CA",-117.780172175428,Two Left Forks,False,$$,4.0,385,68.24
9,Lounges,Asian Fusion,,33.68852,"Irvine, CA",-117.81348,Cafe 1611,False,$$$$,4.5,3,67.53
10,American (Traditional),Burgers,Sports Bars,33.6830877319603,"Irvine, CA",-117.808308331332,Islands Restaurant,False,$$,3.5,350,67.38
11,American (Traditional),Tex-Mex,Bars,33.68283,"Irvine, CA",-117.81538,Chili's,False,$$,3.0,371,67.37
12,Pizza,Breweries,Italian,33.704197,"Irvine, CA",-117.78582,Lamppost Pizza,False,$$,3.0,232,67.18
13,Dance Clubs,Bars,DJs,33.8091812,"Irvine, CA",-117.9745865,Mexico De Noche,False,$$$,2.0,38,67.16
14,DJs,Karaoke,,33.95564,"Irvine, CA",-118.35063,DJ LU1G1,False,$$,5.0,4,66.97
15,Lounges,Whiskey Bars,,43.075,"Madison, WI",-89.38854,Cask & Ale,False,$$,4.5,44,66.77
16,Cocktail Bars,Lounges,,43.08352,"Madison, WI",-89.37696,The Robin Room,False,$$,4.5,40,66.25
