,Category 0,Category 1,Category 2,Category 3,Latitude,Location,Longitude,Name,Out of Business,Price,Rating,Review Count,Happiness Score
0,American (Traditional),Latin American,,,33.0405953292575,"Plano, TX",-96.7507037102425,Lily's Cafe,False,$,4.5,140,72.3
1,Cuban,,,,33.0404645,"Plano, TX",-96.7338833,The Latin Pig,False,$$,4.0,667,71.86
2,Breakfast & Brunch,Cafes,American (Traditional),,33.0405038,"Plano, TX",-96.7336249,First Watch,False,$$,4.0,248,71.81
3,Halal,Mediterranean,,,33.0703699,"Plano, TX",-96.77256,The Gyro Shop,False,$,4.5,288,71.17
4,Thai,,,,33.05562,"Plano, TX",-96.77307,Saucy's Thai & Pho,False,$$,4.5,208,69.74
5,Tex-Mex,Tacos,,,33.08661,"Plano, TX",-96.77108,Rusty Taco,False,$,4.0,464,69.57
6,Pizza,Italian,,,33.0738093194451,"Plano, TX",-96.7711773927292,Ferrari's Pizzeria,False,$,4.5,194,69.3
7,Japanese,Sushi Bars,,,33.0555999844179,"Plano, TX",-96.7725858092309,Densetsu,False,$$,4.0,1214,68.9
8,Taiwanese,Chinese,Noodles,,33.0428,"Plano, TX",-96.77097,Bull Daddy Noodle Bistro,False,$,4.0,217,68.24
9,American (New),Wine Bars,,,33.05118,"Plano, TX",-96.77083,Sip & Savor,False,$$,4.0,111,67.53
10,Mexican,Tex-Mex,Breakfast & Brunch,,33.0750617,"Plano, TX",-96.7496149,Lita's La Mexicana,False,$$,4.0,168,67.38
11,Indian,,,,33.08504,"Plano, TX",-96.77339,Andhra Cafe,False,$,4.5,58,67.37
12,Sushi Bars,Japanese,,,33.0421,"Plano, TX",-96.73464,AKARI Japanese Restaurant,False,$$,4.5,172,67.18
13,Tex-Mex,Mexican,Latin American,,33.0705265046204,"Plano, TX",-96.7521306589996,Salsa Tex Mex,False,$$,4.0,265,67.16
14,Indian,,,,33.0709856498643,"Plano, TX",-96.7707239235385,Aroma Indian Cuisine,False,$$,4.0,206,66.97
15,Bakeries,Delis,Cupcakes,,33.0706,"Plano, TX",-96.75144,Millstone Bakery,False,$,4.5,117,66.77
16,Chinese,Seafood,Noodles,,33.0594881882246,"Plano, TX",-96.7329832689898,China Ocean,False,$,4.0,108,66.25
17,Breakfast & Brunch,Cafes,,,33.070143553405,"Plano, TX",-96.772840997709,Little Gus Cafe,False,$,3.5,187,66.01
18,Vietnamese,,,,33.056902,"Plano, TX",-96.772419,Pho Texas,False,$,4.0,111,65.79
19,Burgers,Sandwiches,,,33.0428927343057,"Plano, TX",-96.7338865556391,Olive Burger - Plano,False,$,4.0,174,65.48
20,Chinese,Singaporean,Malaysian,,33.0420402597803,"Plano, TX",-96.7342822890388,Lion City Chinese Cafe,False,$,4.0,208,65.07
21,Italian,Pizza,,,33.0597,"Plano, TX",-96.73189,Joe's Pasta & Pizza,False,$,4.0,149,65.02
22,Dim Sum,Cantonese,,,33.07135,"Plano, TX",-96.7706199,Zhang's Kitchen,False,$$,3.5,131,64.99
23,Pizza,,,,33.0750582609194,"Plano, TX",-96.7495774850249,ZaLat Pizza,False,$$,4.0,64,64.96
24,Vietnamese,,,,33.040326,"Plano, TX",-96.753801,Saigon Street Viet Cuisine,False,$$,4.0,163,64.9
25,Lebanese,Mediterranean,Persian/Iranian,,33.08661,"Plano, TX",-96.77108,Lebanese Grill,False,$$,4.0,114,64.82
26,Chicken Wings,Burgers,,,33.041471,"Plano, TX",-96.755211,Wing Daddy's Sauce House - Plano,False,$$,3.5,130,64.54
27,Szechuan,Hot Pot,,,33.0555022,"Plano, TX",-96.7730468,Squares Hot Pot,False,$$,4.0,47,64.51
28,Breakfast & Brunch,Bakeries,Caterers,,33.0429525500428,"Plano, TX",-96.7338497067236,Kolache Factory,False,$,4.5,12,64.21
29,Pizza,Italian,,,33.03988,"Plano, TX",-96.7558529,Covino's Pasta & Pizza,False,$$,4.0,196,64.17
30,Modern European,,,,33.0702018737793,"Plano, TX",-96.7707977294922,Euro Deli Too,False,$,4.5,17,64.07
31,Indian,,,,33.04011,"Plano, TX",-96.73478,Wild Mirchi Indian Grill,False,$$,4.0,176,64.0
32,Indian,Halal,Pakistani,,33.05764,"Plano, TX",-96.76862,Plano Village Restaurant,False,$,4.0,16,63.83
33,Chinese,Halal,Breakfast & Brunch,,33.05811,"Plano, TX",-96.75192,Crescent Moon,False,$$,3.5,107,63.82
34,Coffee & Tea,Pretzels,Cafes,,33.0399391,"Plano, TX",-96.7341858,Dubs Tea N Eats,False,$,5.0,40,63.5
35,Chicken Wings,Halal,,,33.0585851,"Plano, TX",-96.7318451,Dallas Kabob House,False,$,3.5,78,63.43
36,Modern European,Mediterranean,,,33.0578994750977,"Plano, TX",-96.7719497680664,King Kabob,False,$$,3.5,79,63.16
37,Vietnamese,Soup,,,33.03945,"Plano, TX",-96.7525,Pho My,False,$,4.0,26,62.82
38,Fast Food,,,,33.05792,"Plano, TX",-96.7698,Chick-fil-A,False,$,4.5,55,62.8
39,Indian,Vegetarian,,,33.03945,"Plano, TX",-96.7525,Kesari,False,$,4.0,200,62.7
40,Pizza,Buffets,,,33.0407954549294,"Plano, TX",-96.7357746742877,Mama's Pizza,False,$,4.0,165,62.41
41,Chinese,,,,33.069527,"Plano, TX",-96.775036,369 BBQ,False,$$,3.5,178,62.35
42,Chinese,,,,33.04188,"Plano, TX",-96.751816,East Wall Chinese Cuisine,False,$$,3.5,42,62.31
43,Indian,Pakistani,,,33.0578839950276,"Plano, TX",-96.7722589150071,7 Spice Halal Indian & Pakistani Cuisine,False,$,4.0,42,62.3
44,Japanese,Sushi Bars,,,33.0703699,"Plano, TX",-96.77256,Sushi Go,False,$$,4.5,41,61.96
45,Sushi Bars,Japanese,Noodles,,33.03869,"Plano, TX",-96.73215,Sushi Sakana,False,$$,4.5,165,61.94
46,Chinese,Asian Fusion,,,33.0397414690454,"Plano, TX",-96.7541600185242,Lucky City,False,$$,3.5,121,61.86
47,Breakfast & Brunch,Burgers,Hawaiian,,33.7060337,"Irvine, CA",-117.7866837,Stacks Pancake House,False,$$,4.0,1080,61.83
48,Ramen,,,,33.7050469654707,"Irvine, CA",-117.785043623797,Kitakata Ramen Ban Nai - Irvine,False,$$,4.0,81,61.73
49,Burgers,American (Traditional),Breakfast & Brunch,,33.6832606193866,"Irvine, CA",-117.813130966795,The Cut,False,$$,4.5,693,61.73
50,Chinese,Noodles,Soup,,33.6805,"Irvine, CA",-117.7785,Noodology,False,$$,4.0,463,61.68
51,American (New),Burgers,,,33.6687986,"Irvine, CA",-117.7867064,The Stand,False,$$,4.5,564,61.22
52,American (New),Cocktail Bars,Breakfast & Brunch,,33.6547764858565,"Irvine, CA",-117.780172175428,Two Left Forks,False,$$,4.0,385,61.16
53,Seafood,Bars,Live/Raw Food,,33.7062108563672,"Irvine, CA",-117.785603870561,EMC Seafood & Raw Bar,False,$$,4.0,1617,61.11
54,Sandwiches,Breakfast & Brunch,Waffles,,33.7054936328288,"Irvine, CA",-117.785671476087,Bruxie,False,$,4.0,1436,61.05
55,Chinese,Taiwanese,Noodles,,33.688076,"Irvine, CA",-117.771562,A & J Restaurant,False,$,4.0,1796,60.99
56,Taiwanese,Noodles,Soup,,33.6810747,"Irvine, CA",-117.7788766,Kingchops,False,$$,4.0,405,60.96
57,American (New),Salad,Sandwiches,,33.684809,"Irvine, CA",-117.810616,Urban Plates,False,$$,4.0,1621,60.96
58,Seafood,Fish & Chips,,,33.6842352575347,"Irvine, CA",-117.809287082414,California Fish Grill,False,$$,4.0,2587,60.96
59,Breakfast & Brunch,Burgers,Sandwiches,,33.65741,"Irvine, CA",-117.76996,S'wich Bistro,False,$$,4.5,313,60.9
60,Mediterranean,,,,33.685125,"Irvine, CA",-117.8106676,CAVA,False,$$,4.0,624,60.83
61,Breakfast & Brunch,Burgers,Sandwiches,,33.6626888476443,"Irvine, CA",-117.773647718132,W Cafe,False,$$,4.5,82,60.33
62,Korean,Barbeque,,,33.7080399,"Irvine, CA",-117.78377,Kang Ho Dong Baekjeong,False,$$,4.5,1177,60.14
63,Korean,Barbeque,Seafood,,33.66847,"Irvine, CA",-117.78542,I Can Barbecue,False,$$,4.0,725,60.11
64,Hot Dogs,Burgers,American (Traditional),,33.7060931279883,"Irvine, CA",-117.787043342085,Burntzilla,False,$,4.0,1177,60.1
65,American (Traditional),Barbeque,Salad,,33.68551,"Irvine, CA",-117.81124,Stonefire Grill,False,$$,4.0,1157,60.08
66,Vietnamese,Noodles,Bubble Tea,,33.684108,"Irvine, CA",-117.811898,Ha Long Vietnamese Cuisine,False,$,4.0,755,60.07
67,Korean,,,,33.7065139690351,"Irvine, CA",-117.78377515196,Chan Chan Food House,False,$$,4.0,374,59.82
68,Sushi Bars,Japanese,,,33.6550170496394,"Irvine, CA",-117.77772164418,O Fine Japanese Cuisine,False,$$,4.0,869,59.81
69,Bagels,Sandwiches,,,33.705049,"Irvine, CA",-117.785033,East Coast Bagel,False,$,4.5,517,59.71
70,Vietnamese,Noodles,,,33.6811382060949,"Irvine, CA",-117.804737276721,Pho Ba Co,False,$$,4.0,1174,59.58
71,Japanese,Hot Pot,,,33.6900662,"Irvine, CA",-117.7707037,House of Shabu Shabu,False,$$,4.0,2174,59.53
72,Delis,American (New),Sandwiches,,33.6773174,"Irvine, CA",-117.7984133,Sessions West Coast Deli,False,$$,4.0,140,59.51
73,Japanese,Hot Pot,,,33.680972,"Irvine, CA",-117.77883,Miyabi Shabu and Grill,False,$$,4.0,820,59.47
74,Chinese,Korean,Chicken Wings,,33.6584149,"Irvine, CA",-117.803118,Chun Ha Jjambbong / Two Ddak Two Ddak,False,$,4.0,94,59.25
