,Location,Happiness Score,Latitude,Longitude,Name,Out of Business,Price,Rating,Review Count,Category 0,Category 1,Category 2,Category 3
0,"Plano, TX",72.3,33.0405953292575,-96.7507037102425,Lily's Cafe,False,$,4.5,140,American (Traditional),Latin American,,
1,"Plano, TX",71.86,33.0404645,-96.7338833,The Latin Pig,False,$$,4.0,667,Cuban,,,
2,"Plano, TX",71.81,33.0405038,-96.7336249,First Watch,False,$$,4.0,248,Breakfast & Brunch,Cafes,American (Traditional),
3,"Plano, TX",71.17,33.0703699,-96.77256,The Gyro Shop,False,$,4.5,288,Halal,Mediterranean,,
4,"Plano, TX",69.74,33.05562,-96.77307,Saucy's Thai & Pho,False,$$,4.5,208,Thai,,,
5,"Plano, TX",69.57,33.08661,-96.77108,Rusty Taco,False,$,4.0,464,Tex-Mex,Tacos,,
6,"Plano, TX",69.3,33.0738093194451,-96.7711773927292,Ferrari's Pizzeria,False,$,4.5,194,Pizza,Italian,,
7,"Plano, TX",68.9,33.0555999844179,-96.7725858092309,Densetsu,False,$$,4.0,1214,Japanese,Sushi Bars,,
8,"Plano, TX",68.24,33.0428,-96.77097,Bull Daddy Noodle Bistro,False,$,4.0,217,Taiwanese,Chinese,Noodles,
9,"Plano, TX",67.53,33.05118,-96.77083,Sip & Savor,False,$$,4.0,111,American (New),Wine Bars,,
10,"Plano, TX",67.38,33.0750617,-96.7496149,Lita's La Mexicana,False,$$,4.0,168,Mexican,Tex-Mex,Breakfast & Brunch,
11,"Plano, TX",67.37,33.08504,-96.77339,Andhra Cafe,False,$,4.5,58,Indian,,,
12,"Plano, TX",67.18,33.0421,-96.73464,AKARI Japanese Restaurant,False,$$,4.5,172,Sushi Bars,Japanese,,
13,"Plano, TX",67.16,33.0705265046204,-96.7521306589996,Salsa Tex Mex,False,$$,4.0,265,Tex-Mex,Mexican,Latin American,
14,"Plano, TX",66.97,33.0709856498643,-96.7707239235385,Aroma Indian Cuisine,False,$$,4.0,206,Indian,,,
15,"Plano, TX",66.77,33.0706,-96.75144,Millstone Bakery,False,$,4.5,117,Bakeries,Delis,Cupcakes,
16,"Plano, TX",66.25,33.0594881882246,-96.7329832689898,China Ocean,False,$,4.0,108,Chinese,Seafood,Noodles,
17,"Plano, TX",66.01,33.070143553405,-96.772840997709,Little Gus Cafe,False,$,3.5,187,Breakfast & Brunch,Cafes,,
18,"Plano, TX",65.79,33.056902,-96.772419,Pho Texas,False,$,4.0,111,Vietnamese,,,
19,"Plano, TX",65.48,33.0428927343057,-96.7338865556391,Olive Burger - Plano,False,$,4.0,174,Burgers,Sandwiches,,
20,"Plano, TX",65.07,33.0420402597803,-96.7342822890388,Lion City Chinese Cafe,False,$,4.0,208,Chinese,Singaporean,Malaysian,
21,"Plano, TX",65.02,33.0597,-96.73189,Joe's Pasta & Pizza,False,$,4.0,149,Italian,Pizza,,
22,"Plano, TX",64.99,33.07135,-96.7706199,Zhang's Kitchen,False,$$,3.5,131,Dim Sum,Cantonese,,
23,"Plano, TX",64.96,33.0750582609194,-96.7495774850249,ZaLat Pizza,False,$$,4.0,64,Pizza,,,
24,"Plano, TX",64.9,33.040326,-96.753801,Saigon Street Viet Cuisine,False,$$,4.0,163,Vietnamese,,,
25,"Plano, TX",64.82,33.08661,-96.77108,Lebanese Grill,False,$$,4.0,114,Lebanese,Mediterranean,Persian/Iranian,
26,"Plano, TX",64.54,33.041471,-96.755211,Wing Daddy's Sauce House - Plano,False,$$,3.5,130,Chicken Wings,Burgers,,
27,"Plano, TX",64.51,33.0555022,-96.7730468,Squares Hot Pot,False,$$,4.0,47,Szechuan,Hot Pot,,
28,"Plano, TX",64.21,33.0429525500428,-96.7338497067236,Kolache Factory,False,$,4.5,12,Breakfast & Brunch,Bakeries,Caterers,
29,"Plano, TX",64.17,33.03988,-96.7558529,Covino's Pasta & Pizza,False,$$,4.0,196,Pizza,Italian,,
30,"Plano, TX",64.07,33.0702018737793,-96.7707977294922,Euro Deli Too,False,$,4.5,17,Modern European,,,
31,"Plano, TX",64.0,33.04011,-96.73478,Wild Mirchi Indian Grill,False,$$,4.0,176,Indian,,,
32,"Plano, TX",63.83,33.05764,-96.76862,Plano Village Restaurant,False,$,4.0,16,Indian,Halal,Pakistani,
33,"Plano, TX",63.82,33.05811,-96.75192,Crescent Moon,False,$$,3.5,107,Chinese,Halal,Breakfast & Brunch,
34,"Plano, TX",63.5,33.0399391,-96.7341858,Dubs Tea N Eats,False,$,5.0,40,Coffee & Tea,Pretzels,Cafes,
