Overall Rank,City,State,City/State,Total Score,Emotional & Physical Well-Being,Income & Employment ,Community & Environment,Recreational,Medical,Bars Average Yelp Rating,Bars Count of Reviews,Bar Count,Cannabis Shop Average Yelp Rating,Cannabis Shop Count of Reviews,Cannabis Shop Count
1,Plano,TX,"Plano, TX",72.3,7,6,8,illegal,CBD oil,3.9285714285714284,16083.0,49.0,,,
2,Irvine,CA,"Irvine, CA",71.86,14,11,5,legal,legal,3.810344827586207,22953.0,29.0,5.0,6.0,2.0
3,Madison,WI,"Madison, WI",71.81,3,14,7,misdemeanor,CBD oil,4.05,11387.0,50.0,,,
4,Fremont,CA,"Fremont, CA",71.17,10,37,1,legal,legal,3.5925925925925926,8745.0,27.0,,,
5,Huntington Beach,CA,"Huntington Beach, CA",69.74,6,46,28,legal,legal,4.0625,39297.0,56.0,,,
6,Fargo,ND,"Fargo, ND",69.57,17,20,24,illegal,legal,3.824324324324324,1893.0,37.0,,,
7,Grand Prairie,TX,"Grand Prairie, TX",69.3,20,35,6,illegal,CBD oil,3.361111111111111,2684.0,18.0,,,
8,San Jose,CA,"San Jose, CA",68.9,1,18,44,legal,legal,3.82,48780.0,50.0,3.8125,690.0,8.0
9,Scottsdale,AZ,"Scottsdale, AZ",68.24,46,13,2,Illegal,legal,4.084905660377358,22274.0,53.0,3.5,32.0,1.0
10,San Francisco,CA,"San Francisco, CA",67.53,4,2,125,legal,legal,4.13,113196.0,50.0,4.3,1173.0,15.0
11,Bismarck,ND,"Bismarck, ND",67.38,25,4,45,illegal,legal,3.590909090909091,1110.0,22.0,,,
12,Overland Park,KS,"Overland Park, KS",67.37,22,56,26,misdemeanor,CBD oil,3.6774193548387095,4908.0,31.0,,,
13,Santa Rosa,CA,"Santa Rosa, CA",67.18,23,53,9,legal,legal,3.8095238095238093,9631.0,42.0,3.5,210.0,1.0
14,Austin,TX,"Austin, TX",67.16,15,8,80,illegal,CBD oil,4.16,42182.0,50.0,5.0,20.0,1.0
15,Sioux Falls,SD,"Sioux Falls, SD",66.97,11,67,95,misdemeanor,illegal,3.7282608695652173,2029.0,46.0,,,
16,Pearl City,HI,"Pearl City, HI",66.77,2,147,15,illegal,legal,3.4,2426.0,5.0,,,
17,Glendale,CA,"Glendale, CA",66.25,27,102,12,legal,legal,3.84375,23820.0,80.0,4.642857142857143,89.0,7.0
18,San Diego,CA,"San Diego, CA",66.01,8,36,46,legal,legal,4.216981132075472,109956.0,53.0,4.25,1994.0,28.0
19,St. Paul,MN,"St. Paul, MN",65.79,18,70,66,decriminalized,legal,3.8333333333333335,693.0,3.0,,,
20,Charleston,SC,"Charleston, SC",65.48,74,5,4,misdemeanor,CBD oil,3.9375,27578.0,72.0,,,
21,Gilbert,AZ,"Gilbert, AZ",65.07,54,48,10,Illegal,legal,4.051724137931035,16073.0,58.0,4.0,240.0,6.0
22,Anaheim,CA,"Anaheim, CA",65.02,29,79,34,legal,legal,4.2105263157894735,38726.0,57.0,3.5,168.0,5.0
23,Raleigh,NC,"Raleigh, NC",64.99,13,41,87,decriminalized,CBD oil,4.21,13801.0,50.0,,,
24,Cape Coral,FL,"Cape Coral, FL",64.96,51,87,3,illegal,legal,3.8484848484848486,4276.0,33.0,,,
25,Cedar Rapids,IA,"Cedar Rapids, IA",64.9,41,58,20,illegal,CBD oil,3.869047619047619,2431.0,42.0,,,
26,Minneapolis,MN,"Minneapolis, MN",64.82,5,26,137,decriminalized,legal,4.1,22803.0,50.0,,,
27,Chula Vista,CA,"Chula Vista, CA",64.54,19,117,25,legal,legal,3.6176470588235294,7465.0,34.0,5.0,18.0,2.0
28,Pembroke Pines,FL,"Pembroke Pines, FL",64.51,47,89,14,illegal,legal,3.5925925925925926,5283.0,27.0,,,
29,Honolulu,HI,"Honolulu, HI",64.21,55,34,17,illegal,legal,4.07051282051282,57832.0,78.0,3.9,153.0,5.0
30,Des Moines,IA,"Des Moines, IA",64.17,39,85,37,illegal,CBD oil,3.965909090909091,4654.0,44.0,,,
31,Irving,TX,"Irving, TX",64.07,28,17,119,illegal,CBD oil,3.740740740740741,4267.0,27.0,,,
32,Santa Clarita,CA,"Santa Clarita, CA",64.0,24,112,77,legal,legal,3.793103448275862,6581.0,29.0,,,
33,Chandler,AZ,"Chandler, AZ",63.83,62,55,16,Illegal,legal,3.9913793103448274,16580.0,58.0,3.5,150.0,5.0
34,Oceanside,CA,"Oceanside, CA",63.82,16,156,29,legal,legal,4.157894736842105,15845.0,38.0,4.5,7.0,1.0
35,Omaha,NE,"Omaha, NE",63.5,56,80,19,decriminalized,illegal,4.183673469387755,7033.0,49.0,,,
36,Lincoln,NE,"Lincoln, NE",63.43,32,86,62,decriminalized,illegal,3.8979591836734695,3306.0,49.0,,,
37,Oakland,CA,"Oakland, CA",63.16,12,75,131,legal,legal,4.021739130434782,37012.0,46.0,3.857142857142857,248.0,7.0
38,Billings,MT,"Billings, MT",62.82,61,33,51,illegal,legal,3.6511627906976742,1273.0,43.0,,,
39,Tempe,AZ,"Tempe, AZ",62.8,66,54,21,Illegal,legal,3.813953488372093,16469.0,43.0,,,
40,Garden Grove,CA,"Garden Grove, CA",62.7,37,107,67,legal,legal,3.8846153846153846,9816.0,13.0,,,
41,Denver,CO,"Denver, CO",62.41,21,64,116,legal,legal,4.245762711864407,47030.0,59.0,4.171052631578948,1720.0,38.0
42,Fort Worth,TX,"Fort Worth, TX",62.35,44,90,54,illegal,CBD oil,4.0,13643.0,52.0,,,
43,Burlington,VT,"Burlington, VT",62.31,53,10,120,legal,legal,3.76027397260274,9162.0,73.0,,,
44,Peoria,AZ,"Peoria, AZ",62.3,65,77,23,Illegal,legal,3.75,7366.0,38.0,,,
45,Port St. Lucie,FL,"Port St. Lucie, FL",61.96,76,73,13,illegal,legal,3.6666666666666665,378.0,3.0,,,
46,Boise,ID,"Boise, ID",61.94,68,19,48,misdemeanor,illegal,4.06,7948.0,50.0,,,
47,Garland,TX,"Garland, TX",61.86,31,120,103,illegal,CBD oil,3.272727272727273,1191.0,11.0,,,
48,Aurora,CO,"Aurora, CO",61.83,26,121,104,legal,legal,3.663793103448276,7370.0,58.0,3.28125,423.0,16.0
49,Arlington,TX,"Arlington, TX",61.73,40,128,59,illegal,CBD oil,3.829113924050633,13444.0,79.0,,,
49,El Paso,TX,"El Paso, TX",61.73,58,98,39,illegal,CBD oil,3.858695652173913,4471.0,46.0,,,
51,Washington,DC,"Washington, DC",61.68,9,40,167,legal,legal,,,,,,
52,Charlotte,NC,"Charlotte, NC",61.22,52,92,57,decriminalized,CBD oil,4.091836734693878,18337.0,49.0,4.0,9.0,1.0
53,Fort Lauderdale,FL,"Fort Lauderdale, FL",61.16,59,60,92,illegal,legal,4.135416666666667,23451.0,48.0,,,
54,Seattle,WA,"Seattle, WA",61.11,36,1,171,legal,legal,4.11,54889.0,50.0,3.95,736.0,20.0
55,Aurora,IL,"Aurora, IL",61.05,38,164,56,decriminalized,legal,3.663793103448276,7370.0,58.0,3.28125,423.0,16.0
56,Missoula,MT,"Missoula, MT",60.99,57,52,91,illegal,legal,3.5657894736842106,2851.0,38.0,,,
57,Santa Ana,CA,"Santa Ana, CA",60.96,50,103,73,legal,legal,4.120689655172414,27635.0,29.0,4.122950819672131,5646.0,61.0
58,Boston,MA,"Boston, MA",60.96,34,12,152,legal,legal,4.0,62425.0,47.0,,,
59,Colorado Springs,CO,"Colorado Springs, CO",60.96,72,69,36,legal,legal,4.19,11261.0,50.0,3.7,21.0,10.0
60,Durham,NC,"Durham, NC",60.9,30,28,113,decriminalized,CBD oil,3.9895833333333335,10653.0,48.0,,,
61,Portland,ME,"Portland, ME",60.83,48,49,149,legal,legal,4.162037037037037,62976.0,108.0,4.21875,988.0,32.0
62,Grand Rapids,MI,"Grand Rapids, MI",60.33,83,31,49,legal,legal,3.9479166666666665,8076.0,48.0,,,
